Регион,Тип города,Город,Часовой пояс
Иркутская,г,Усть-Илимск,UTC239
Иркутская,г,Усть-Кут,UTC240
Иркутская,г,Черемхово,UTC241
Иркутская,г,Шелехов,UTC242
Кабардино-Балкарская,г,Баксан,UTC238
Кабардино-Балкарская,г,Майский,UTC239
Кабардино-Балкарская,г,Нальчик,UTC240
Кабардино-Балкарская,г,Нарткала,UTC241
Кабардино-Балкарская,г,Прохладный,UTC242
Кабардино-Балкарская,г,Терек,UTC243
Кабардино-Балкарская,г,Тырныауз,UTC244
Кабардино-Балкарская,г,Чегем,UTC245
Калининградская,г,Багратионовск,UTC245
Калининградская,г,Балтийск,UTC246
Калининградская,г,Гвардейск,UTC247
Калининградская,г,Гурьевск,UTC248
Калининградская,г,Гусев,UTC249
Калининградская,г,Зеленоградск,UTC250
Калининградская,г,Калининград,UTC251
Калининградская,г,Краснознаменск,UTC252
Калининградская,г,Ладушкин,UTC253
Калининградская,г,Мамоново,UTC254
Калининградская,г,Неман,UTC255
Калининградская,г,Нестеров,UTC256
Калининградская,г,Озерск,UTC257
Калининградская,г,Пионерский,UTC258
Калининградская,г,Полесск,UTC259
Калининградская,г,Правдинск,UTC260
Калининградская,г,Приморск,UTC261
Калининградская,г,Светлогорск,UTC262
Калининградская,г,Светлый,UTC263
Калининградская,г,Славск,UTC264
Калининградская,г,Советск,UTC265
Калининградская,г,Черняховск,UTC266
Калмыкия,г,Городовиковск,UTC268
Калмыкия,г,Лагань,UTC269
Калмыкия,г,Элиста,UTC270
Калужская,г,Балабаново,UTC271
Калужская,г,Белоусово,UTC272
Калужская,г,Боровск,UTC273
Калужская,г,Ермолино,UTC274
Калужская,г,Жиздра,UTC275
Калужская,г,Жуков,UTC276
Калужская,г,Калуга,UTC277
Калужская,г,Киров,UTC278
Калужская,г,Козельск,UTC279
Калужская,г,Кондрово,UTC280
Калужская,г,Кременки,UTC281
Калужская,г,Людиново,UTC282
Калужская,г,Малоярославец,UTC283
Калужская,г,Медынь,UTC284
Калужская,г,Мещовск,UTC285
Калужская,г,Мосальск,UTC286
Калужская,г,Обнинск,UTC287
Калужская,г,Сосенский,UTC288
Калужская,г,Спас-Деменск,UTC289
Калужская,г,Сухиничи,UTC290
Калужская,г,Таруса,UTC291
Калужская,г,Юхнов,UTC292
Камчатский,г,Вилючинск,UTC302
Камчатский,г,Елизово,UTC303
Камчатский,г,Петропавловск-Камчатский,UTC304
Карачаево-Черкесская,г,Карачаевск,UTC296
Карачаево-Черкесская,г,Теберда,UTC297
Карачаево-Черкесская,г,Усть-Джегута,UTC298
Карачаево-Черкесская,г,Черкесск,UTC299
Карелия,г,Беломорск,UTC300
Карелия,г,Кемь,UTC301
Карелия,г,Кондопога,UTC302
Карелия,г,Костомукша,UTC303
Карелия,г,Лахденпохья,UTC304
Карелия,г,Медвежьегорск,UTC305
Карелия,г,Олонец,UTC306
Карелия,г,Петрозаводск,UTC307
Карелия,г,Питкяранта,UTC308
Карелия,г,Пудож,UTC309
Карелия,г,Сегежа,UTC310
Карелия,г,Сортавала,UTC311
Карелия,г,Суоярви,UTC312
Кемеровская,г,Анжеро-Судженск,UTC317
Кемеровская,г,Белово,UTC318
Кемеровская,г,Березовский,UTC319
Кемеровская,г,Гурьевск,UTC320
Кемеровская,г,Калтан,UTC321
Кемеровская,г,Кемерово,UTC322
Кемеровская,г,Киселевск,UTC323
Кемеровская,г,Ленинск-Кузнецкий,UTC324
Кемеровская,г,Мариинск,UTC325
Кемеровская,г,Междуреченск,UTC326
Кемеровская,г,Мыски,UTC327
Кемеровская,г,Новокузнецк,UTC328
Кемеровская,г,Осинники,UTC329
Кемеровская,г,Полысаево,UTC330
Кемеровская,г,Прокопьевск,UTC331
Кемеровская,г,Салаир,UTC332
Кемеровская,г,Тайга,UTC333
Кемеровская,г,Таштагол,UTC334
Кемеровская,г,Топки,UTC335
Кемеровская,г,Юрга,UTC336
Кировская,г,Белая Холуница,UTC333
Кировская,г,Вятские Поляны,UTC334
Кировская,г,Зуевка,UTC335
Кировская,г,Киров,UTC336
Кировская,г,Кирово-Чепецк,UTC337
Кировская,г,Кирс,UTC338
Кировская,г,Котельнич,UTC339
Кировская,г,Луза,UTC340
Кировская,г,Малмыж,UTC341
Кировская,г,Мураши,UTC342
Кировская,г,Нолинск,UTC343
Кировская,г,Омутнинск,UTC344
Кировская,г,Орлов,UTC345
Кировская,г,Слободской,UTC346
Кировская,г,Советск,UTC347
Кировская,г,Сосновка,UTC348
Кировская,г,Уржум,UTC349
Кировская,г,Яранск,UTC350
Коми,г,Воркута,UTC351
Коми,г,Вуктыл,UTC352
Коми,г,Емва,UTC353
Коми,г,Инта,UTC354
Коми,г,Микунь,UTC355
Коми,г,Печора,UTC356
Коми,г,Сосногорск,UTC357
Коми,г,Сыктывкар,UTC358
Коми,г,Усинск,UTC359
Коми,г,Ухта,UTC360
Костромская,г,Буй,UTC361
Костромская,г,Волгореченск,UTC362
Костромская,г,Галич,UTC363
Костромская,г,Кологрив,UTC364
Костромская,г,Кострома,UTC365
Костромская,г,Макарьев,UTC366
Костромская,г,Мантурово,UTC367
Костромская,г,Нерехта,UTC368
Костромская,г,Нея,UTC369
Костромская,г,Солигалич,UTC370
Костромская,г,Чухлома,UTC371
Костромская,г,Шарья,UTC372
Краснодарский,г,Абинск,UTC373
Краснодарский,г,Анапа,UTC374
Краснодарский,г,Апшеронск,UTC375
Краснодарский,г,Армавир,UTC376
Краснодарский,г,Белореченск,UTC377
Краснодарский,г,Геленджик,UTC378
Краснодарский,г,Горячий Ключ,UTC379
Краснодарский,г,Гулькевичи,UTC380
Краснодарский,г,Ейск,UTC381
Краснодарский,г,Кореновск,UTC382
Краснодарский,г,Краснодар,UTC383
Краснодарский,г,Кропоткин,UTC384
Краснодарский,г,Крымск,UTC385
Краснодарский,г,Курганинск,UTC386
Краснодарский,г,Лабинск,UTC387
Краснодарский,г,Новокубанск,UTC388
Краснодарский,г,Новороссийск,UTC389
Краснодарский,г,Приморско-Ахтарск,UTC390
Краснодарский,г,Славянск-на-Кубани,UTC391
Краснодарский,г,Сочи,UTC392
Краснодарский,г,Темрюк,UTC393
Краснодарский,г,Тимашевск,UTC394
Краснодарский,г,Тихорецк,UTC395
Краснодарский,г,Туапсе,UTC396
Краснодарский,г,Усть-Лабинск,UTC397
Краснодарский,г,Хадыженск,UTC398
Красноярский,г,Артемовск,UTC403
Красноярский,г,Ачинск,UTC404
Красноярский,г,Боготол,UTC405
Красноярский,г,Бородино,UTC406
Красноярский,г,Дивногорск,UTC407
Красноярский,г,Дудинка,UTC408
Красноярский,г,Енисейск,UTC409
Красноярский,г,Железногорск,UTC410
Красноярский,г,Заозерный,UTC411
Красноярский,г,Зеленогорск,UTC412
Красноярский,г,Игарка,UTC413
Красноярский,г,Иланский,UTC414
Красноярский,г,Канск,UTC415
Красноярский,г,Кодинск,UTC416
Красноярский,г,Красноярск,UTC417
Красноярский,г,Лесосибирск,UTC418
Красноярский,г,Минусинск,UTC419
Красноярский,г,Назарово,UTC420
Красноярский,г,Норильск,UTC421
Красноярский,г,Сосновоборск,UTC422
Красноярский,г,Ужур,UTC423
Красноярский,г,Уяр,UTC424
Красноярский,г,Шарыпово,UTC425
Крым,г,Ялта,UTC422
Крым,г,Алушта,UTC423
Крым,г,Армянск,UTC424
Крым,г,Бахчисарай,UTC425
Крым,г,Белогорск,UTC426
Крым,г,Джанкой,UTC427
Крым,г,Евпатория,UTC428
Крым,г,Керчь,UTC429
Крым,г,Красноперекопск,UTC430
Крым,г,Саки,UTC431
Крым,г,Симферополь,UTC432
Крым,г,Старый Крым,UTC433
Крым,г,Судак,UTC434
Крым,г,Феодосия,UTC435
Крым,г,Щелкино,UTC436
Крым,г,Ялта,UTC437
Курганская,г,Далматово,UTC440
Курганская,г,Катайск,UTC441
Курганская,г,Курган,UTC442
Курганская,г,Куртамыш,UTC443
Курганская,г,Макушино,UTC444
Курганская,г,Петухово,UTC445
Курганская,г,Шадринск,UTC446
Курганская,г,Шумиха,UTC447
Курганская,г,Щучье,UTC448
Курская,г,Дмитриев,UTC447
Курская,г,Железногорск,UTC448
Курская,г,Курск,UTC449
Курская,г,Курчатов,UTC450
Курская,г,Льгов,UTC451
Курская,г,Обоянь,UTC452
Курская,г,Рыльск,UTC453
Курская,г,Суджа,UTC454
Курская,г,Фатеж,UTC455
Курская,г,Щигры,UTC456
Ленинградская,г,Бокситогорск,UTC457
Ленинградская,г,Волосово,UTC458
Ленинградская,г,Волхов,UTC459
Ленинградская,г,Всеволожск,UTC460
Ленинградская,г,Выборг,UTC461
Ленинградская,г,Высоцк,UTC462
Ленинградская,г,Гатчина,UTC463
Ленинградская,г,Ивангород,UTC464
Ленинградская,г,Каменногорск,UTC465
Ленинградская,г,Кингисепп,UTC466
Ленинградская,г,Кириши,UTC467
Ленинградская,г,Кировск,UTC468
Ленинградская,г,Коммунар,UTC469
Ленинградская,г,Лодейное Поле,UTC470
Ленинградская,г,Луга,UTC471
Ленинградская,г,Любань,UTC472
Ленинградская,г,Никольское,UTC473
Ленинградская,г,Новая Ладога,UTC474
Ленинградская,г,Отрадное,UTC475
Ленинградская,г,Пикалево,UTC476
Ленинградская,г,Подпорожье,UTC477
Ленинградская,г,Приморск,UTC478
Ленинградская,г,Приозерск,UTC479
Ленинградская,г,Светогорск,UTC480
Ленинградская,г,Сертолово,UTC481
Ленинградская,г,Сланцы,UTC482
Ленинградская,г,Сосновый Бор,UTC483
Ленинградская,г,Сясьстрой,UTC484
Ленинградская,г,Тихвин,UTC485
Ленинградская,г,Тосно,UTC486
Ленинградская,г,Шлиссельбург,UTC487
Липецкая,г,Грязи,UTC488
Липецкая,г,Данков,UTC489
Липецкая,г,Елец,UTC490
Липецкая,г,Задонск,UTC491
Липецкая,г,Лебедянь,UTC492
Липецкая,г,Липецк,UTC493
Липецкая,г,Усмань,UTC494
Липецкая,г,Чаплыгин,UTC495
Магаданская,г,Магадан,UTC504
Магаданская,г,Сусуман,UTC505
Марий Эл,г,Волжск,UTC498
Марий Эл,г,Звенигово,UTC499
Марий Эл,г,Йошкар-Ола,UTC500
Марий Эл,г,Козьмодемьянск,UTC501
Мордовия,г,Ардатов,UTC502
Мордовия,г,Инсар,UTC503
Мордовия,г,Ковылкино,UTC504
Мордовия,г,Краснослободск,UTC505
Мордовия,г,Рузаевка,UTC506
Мордовия,г,Саранск,UTC507
Мордовия,г,Темников,UTC508
Москва,,,UTC509
Московская,г,Апрелевка,UTC510
Московская,г,Балашиха,UTC511
Московская,г,Бронницы,UTC512
Московская,г,Верея,UTC513
Московская,г,Видное,UTC514
Московская,г,Волоколамск,UTC515
Московская,г,Воскресенск,UTC516
Московская,г,Высоковск,UTC517
Московская,г,Голицыно,UTC518
Московская,г,Дедовск,UTC519
Московская,г,Дзержинский,UTC520
Московская,г,Дмитров,UTC521
Московская,г,Долгопрудный,UTC522
Московская,г,Домодедово,UTC523
Московская,г,Дрезна,UTC524
Московская,г,Дубна,UTC525
Московская,г,Егорьевск,UTC526
Московская,г,Жуковский,UTC527
Московская,г,Зарайск,UTC528
Московская,г,Звенигород,UTC529
Московская,г,Ивантеевка,UTC530
Московская,г,Истра,UTC531
Московская,г,Кашира,UTC532
Московская,г,Клин,UTC533
Московская,г,Коломна,UTC534
Московская,г,Королев,UTC535
Московская,г,Котельники,UTC536
Московская,г,Красноармейск,UTC537
Московская,г,Красногорск,UTC538
Московская,г,Краснозаводск,UTC539
Московская,г,Краснознаменск,UTC540
Московская,г,Кубинка,UTC541
Московская,г,Куровское,UTC542
Московская,г,Ликино-Дулево,UTC543
Московская,г,Лобня,UTC544
Московская,г,Лосино-Петровский,UTC545
Московская,г,Луховицы,UTC546
Московская,г,Лыткарино,UTC547
Московская,г,Люберцы,UTC548
Московская,г,Можайск,UTC549
Московская,г,Мытищи,UTC550
Московская,г,Наро-Фоминск,UTC551
Московская,г,Ногинск,UTC552
Московская,г,Одинцово,UTC553
Московская,г,Озеры,UTC554
Московская,г,Орехово-Зуево,UTC555
Московская,г,Павловский Посад,UTC556
Московская,г,Пересвет,UTC557
Московская,г,Подольск,UTC558
Московская,г,Протвино,UTC559
Московская,г,Пушкино,UTC560
Московская,г,Пущино,UTC561
Московская,г,Раменское,UTC562
Московская,г,Реутов,UTC563
Московская,г,Рошаль,UTC564
Московская,г,Руза,UTC565
Московская,г,Сергиев Посад,UTC566
Московская,г,Серпухов,UTC567
Московская,г,Солнечногорск,UTC568
Московская,г,Старая Купавна,UTC569
Московская,г,Ступино,UTC570
Московская,г,Талдом,UTC571
Московская,г,Фрязино,UTC572
Московская,г,Химки,UTC573
Московская,г,Хотьково,UTC574
Московская,г,Черноголовка,UTC575
Московская,г,Чехов,UTC576
Московская,г,Шатура,UTC577
Московская,г,Щелково,UTC578
Московская,г,Электрогорск,UTC579
Московская,г,Электросталь,UTC580
Московская,г,Электроугли,UTC581
Московская,г,Яхрома,UTC582
Мурманская,г,Апатиты,UTC583
Мурманская,г,Гаджиево,UTC584
Мурманская,г,Заозерск,UTC585
Мурманская,г,Заполярный,UTC586
Мурманская,г,Кандалакша,UTC587
Мурманская,г,Кировск,UTC588
Мурманская,г,Ковдор,UTC589
Мурманская,г,Кола,UTC590
Мурманская,г,Мончегорск,UTC591
Мурманская,г,Мурманск,UTC592
Мурманская,г,Оленегорск,UTC593
Мурманская,г,Островной,UTC594
Мурманская,г,Полярные Зори,UTC595
Мурманская,г,Полярный,UTC596
Мурманская,г,Североморск,UTC597
Мурманская,г,Снежногорск,UTC598
Ненецкий,г,Нарьян-Мар,UTC599
Нижегородская,г,Арзамас,UTC600
Нижегородская,г,Балахна,UTC601
Нижегородская,г,Богородск,UTC602
Нижегородская,г,Бор,UTC603
Нижегородская,г,Ветлуга,UTC604
Нижегородская,г,Володарск,UTC605
Нижегородская,г,Ворсма,UTC606
Нижегородская,г,Выкса,UTC607
Нижегородская,г,Горбатов,UTC608
Нижегородская,г,Городец,UTC609
Нижегородская,г,Дзержинск,UTC610
Нижегородская,г,Заволжье,UTC611
Нижегородская,г,Княгинино,UTC612
Нижегородская,г,Кстово,UTC613
Нижегородская,г,Кулебаки,UTC614
Нижегородская,г,Лукоянов,UTC615
Нижегородская,г,Лысково,UTC616
Нижегородская,г,Навашино,UTC617
Нижегородская,г,Нижний Новгород,UTC618
Нижегородская,г,Павлово,UTC619
Нижегородская,г,Первомайск,UTC620
Нижегородская,г,Перевоз,UTC621
Нижегородская,г,Саров,UTC622
Нижегородская,г,Семенов,UTC623
Нижегородская,г,Сергач,UTC624
Нижегородская,г,Урень,UTC625
Нижегородская,г,Чкаловск,UTC626
Нижегородская,г,Шахунья,UTC627
Новгородская,г,Боровичи,UTC628
Новгородская,г,Валдай,UTC629
Новгородская,г,Великий Новгород,UTC630
Новгородская,г,Малая Вишера,UTC631
Новгородская,г,Окуловка,UTC632
Новгородская,г,Пестово,UTC633
Новгородская,г,Сольцы,UTC634
Новгородская,г,Старая Русса,UTC635
Новгородская,г,Холм,UTC636
Новгородская,г,Чудово,UTC637
Новосибирская,г,Барабинск,UTC642
Новосибирская,г,Бердск,UTC643
Новосибирская,г,Болотное,UTC644
Новосибирская,г,Искитим,UTC645
Новосибирская,г,Карасук,UTC646
Новосибирская,г,Каргат,UTC647
Новосибирская,г,Куйбышев,UTC648
Новосибирская,г,Купино,UTC649
Новосибирская,г,Новосибирск,UTC650
Новосибирская,г,Обь,UTC651
Новосибирская,г,Татарск,UTC652
Новосибирская,г,Тогучин,UTC653
Новосибирская,г,Черепаново,UTC654
Новосибирская,г,Чулым,UTC655
Омская,г,Исилькуль,UTC655
Омская,г,Калачинск,UTC656
Омская,г,Называевск,UTC657
Омская,г,Омск,UTC658
Омская,г,Тара,UTC659
Омская,г,Тюкалинск,UTC660
Оренбургская,г,Абдулино,UTC660
Оренбургская,г,Бугуруслан,UTC661
Оренбургская,г,Бузулук,UTC662
Оренбургская,г,Гай,UTC663
Оренбургская,г,Кувандык,UTC664
Оренбургская,г,Медногорск,UTC665
Оренбургская,г,Новотроицк,UTC666
Оренбургская,г,Оренбург,UTC667
Оренбургская,г,Орск,UTC668
Оренбургская,г,Соль-Илецк,UTC669
Оренбургская,г,Сорочинск,UTC670
Оренбургская,г,Ясный,UTC671
Орловская,г,Болхов,UTC670
Орловская,г,Дмитровск,UTC671
Орловская,г,Ливны,UTC672
Орловская,г,Малоархангельск,UTC673
Орловская,г,Мценск,UTC674
Орловская,г,Новосиль,UTC675
Орловская,г,Орёл,UTC676
Пензенская,г,Белинский,UTC677
Пензенская,г,Городище,UTC678
Пензенская,г,Заречный,UTC679
Пензенская,г,Каменка,UTC680
Пензенская,г,Кузнецк,UTC681
Пензенская,г,Нижний Ломов,UTC682
Пензенская,г,Никольск,UTC683
Пензенская,г,Пенза,UTC684
Пензенская,г,Сердобск,UTC685
Пензенская,г,Спасск,UTC686
Пензенская,г,Сурск,UTC687
Пермский,г,Александровск,UTC690
Пермский,г,Березники,UTC691
Пермский,г,Верещагино,UTC692
Пермский,г,Горнозаводск,UTC693
Пермский,г,Гремячинск,UTC694
Пермский,г,Губаха,UTC695
Пермский,г,Добрянка,UTC696
Пермский,г,Кизел,UTC697
Пермский,г,Красновишерск,UTC698
Пермский,г,Краснокамск,UTC699
Пермский,г,Кудымкар,UTC700
Пермский,г,Кунгур,UTC701
Пермский,г,Лысьва,UTC702
Пермский,г,Нытва,UTC703
Пермский,г,Оса,UTC704
Пермский,г,Оханск,UTC705
Пермский,г,Очер,UTC706
Пермский,г,Пермь,UTC707
Пермский,г,Соликамск,UTC708
Пермский,г,Усолье,UTC709
Пермский,г,Чайковский,UTC710
Пермский,г,Чердынь,UTC711
Пермский,г,Чермоз,UTC712
Пермский,г,Чернушка,UTC713
Пермский,г,Чусовой,UTC714
Приморский,г,Арсеньев,UTC720
Приморский,г,Артем,UTC721
Приморский,г,Большой Камень,UTC722
Приморский,г,Владивосток,UTC723
Приморский,г,Дальнегорск,UTC724
Приморский,г,Дальнереченск,UTC725
Приморский,г,Лесозаводск,UTC726
Приморский,г,Находка,UTC727
Приморский,г,Партизанск,UTC728
Приморский,г,Спасск-Дальний,UTC729
Приморский,г,Уссурийск,UTC730
Приморский,г,Фокино,UTC731
Псковская,г,Великие Луки,UTC725
Псковская,г,Гдов,UTC726
Псковская,г,Дно,UTC727
Псковская,г,Невель,UTC728
Псковская,г,Новоржев,UTC729
Псковская,г,Новосокольники,UTC730
Псковская,г,Опочка,UTC731
Псковская,г,Остров,UTC732
Псковская,г,Печоры,UTC733
Псковская,г,Порхов,UTC734
Псковская,г,Псков,UTC735
Псковская,г,Пустошка,UTC736
Псковская,г,Пыталово,UTC737
Псковская,г,Себеж,UTC738
Ростовская,г,Азов,UTC739
Ростовская,г,Аксай,UTC740
Ростовская,г,Батайск,UTC741
Ростовская,г,Белая Калитва,UTC742
Ростовская,г,Волгодонск,UTC743
